	sra_study_acc	Disease
SRX5508352	SRP188206	Healthy
SRX5508351	SRP188206	Healthy
SRX5508355	SRP188206	Healthy
SRX5508354	SRP188206	Healthy
SRX5508357	SRP188206	Healthy
SRX5508358	SRP188206	Healthy
SRX5508360	SRP188206	Healthy
SRX5508361	SRP188206	Healthy
SRX5508363	SRP188206	Healthy
SRX5508372	SRP188206	Healthy
SRX5508373	SRP188206	Healthy
SRX5508375	SRP188206	Healthy
SRX5508376	SRP188206	Healthy
SRX5508364	SRP188206	Healthy
SRX5508378	SRP188206	Healthy
SRX5508379	SRP188206	Healthy
SRX5508367	SRP188206	Healthy
SRX5508366	SRP188206	Healthy
SRX5508369	SRP188206	Healthy
SRX5508381	SRP188206	Healthy
SRX5508384	SRP188206	Healthy
SRX5508370	SRP188206	Healthy
SRX5508382	SRP188206	Healthy
SRX5508385	SRP188206	Healthy
SRX5739460	SRP193919	Healthy
SRX5739461	SRP193919	Healthy
SRX5739465	SRP193919	Healthy
SRX5739464	SRP193919	Healthy
SRX7523750	SRP240643	Healthy
SRX7523751	SRP240643	Healthy
SRX7523752	SRP240643	Healthy
SRX7523753	SRP240643	Healthy
SRX7523754	SRP240643	Healthy
SRX7523755	SRP240643	Healthy
SRX7523756	SRP240643	Healthy
SRX7523757	SRP240643	Healthy
SRX7523760	SRP240643	Healthy
SRX7523764	SRP240643	Healthy
SRX7523762	SRP240643	Healthy
SRX7523765	SRP240643	Healthy
SRX7523758	SRP240643	Healthy
SRX7523766	SRP240643	Healthy
SRX7523761	SRP240643	Healthy
SRX7523767	SRP240643	Healthy
SRX7523759	SRP240643	Healthy
SRX7523768	SRP240643	Healthy
SRX7523763	SRP240643	Healthy
SRX7523769	SRP240643	Healthy
